id,active,amount_select,appears_on_payslip,category_id/id,child_ids/id,code,company_id/id,condition_select,register_id/id,note,amount_fix,input_ids/id,condition_range_max,condition_range_min,name,parent_rule_id/id,amount_percentage,amount_percentage_base,amount_python_compute,condition_python,quantity,condition_range,hr_salary_rule_glcode_ids/id,sequence
__export__.hr_salary_rule_31,True,Python Code,True,hr_payroll.BASIC,BASIC,base.main_company,Always True,Basic,result = contract.wage or 0, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,1,,,,,,,,,,,
__export__.hr_salary_rule_32,True,Python Code,True,hr_payroll.GROSS,GROSS,base.main_company,Always True,Gross,result = categories.BASIC + categories.ADDT, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,300,,,,,,,,,,,
__export__.hr_salary_rule_33,True,Python Code,True,hr_payroll.NET,NET,base.main_company,Always True,Net,if categories.CAT_NETBEFOREMTD >0:  result = categories.CAT_NETBEFOREMTD - categories.CATLHDN - categories.SCS_E - categories.DEDT elif categories.CAT_NETBEFOREMTD <=0:  result = categories.GROSS - categories.SCS_E - categories.EPF_E - categories.DEDT, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,600,,,,,,,,,,,
__export__.hr_salary_rule_34,True,Python Code,True,__export__.hr_salary_rule_category_7,ADDOT,base.main_company,Always True,Overtime (1.5),result = round((contract.wage / 26 / 8 *1.5),2) *  inputs.INPUTOT.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,100,,,,,,,,,,
__export__.hr_salary_rule_35,True,Python Code,True,__export__.hr_salary_rule_category_7,COMM,base.main_company,Always True,Commission,result = inputs.ICOMM.amount + payslip.ppm_commission_amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,104,,,,,,,,,,,
__export__.hr_salary_rule_36,True,Python Code,True,__export__.hr_salary_rule_category_7,ALW,base.main_company,Always True,Allowance,result = inputs.IALLOWANCE.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,102,,,,,,,,,,,
__export__.hr_salary_rule_37,True,Python Code,True,__export__.hr_salary_rule_category_7,BACKPAY,base.main_company,Always True,Back Pay,result = inputs.INPUTBACKPAY.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,103,,,,,,,,,,,
__export__.hr_salary_rule_38,True,Python Code,True,__export__.hr_salary_rule_category_7,OTPH,base.main_company,Always True,Overtime - Public Holiday,result = (contract.wage / worked_days. TTLCURRDAYINMTH.number_of_days) * inputs.INPUTOTPH.amount , # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,101,,,,,,,,,,,
__export__.hr_salary_rule_39,True,Python Code,True,__export__.hr_salary_rule_category_7,OTHERADD,base.main_company,Always True,Other Additions,result = inputs.IOTHERADD.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,110,,,,,,,,,,,
__export__.hr_salary_rule_41,True,Python Code,True,__export__.hr_salary_rule_category_8,OTHDED,base.main_company,Always True,Other Deductions,result = inputs.INPUTOTHDED.amount, # Available variables: #---------------------- # payslip: object containing the payslips # employee: hr.employee object # contract: hr.contract object # rules: object containing the rules code (previously computed) # categories: object containing the computed salary rule categories (sum of amount of all rules belonging to that category). # worked_days: object containing the computed worked days # inputs: object containing the computed inputs  # Note: returned value have to be set in the variable 'result'  result = rules.NET > categories.NET * 0.10,1,contract.wage,200,,,,,,,,,,,
